,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
28,0.031253385543823245,0.0,0.6223908918406073,0.637085167507154,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",173,0.6445497630331753,0.6287069988137604,0.6161137440758294,0.5765124555160143,0.6255924170616114,0.701067615658363,0.5781990521327014,0.5931198102016607,0.6476190476190476,0.6860189573459715,0.01397750403794251,0.0,0.02501997955797884,0.049316263546679846
29,0.03445568084716797,0.0031253814697265623,0.7030360531309298,0.7151321448449174,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 7}",136,0.7488151658767772,0.7046263345195729,0.7440758293838863,0.7141162514827996,0.6161137440758294,0.7200474495848161,0.7156398104265402,0.7188612099644128,0.6904761904761905,0.7180094786729858,0.01545176232099511,0.006250762939453125,0.048295734438827634,0.005616925978236947
30,0.0718541145324707,0.006202507019042969,0.7400379506641366,0.742639411265341,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",110,0.7535545023696683,0.7212336892052195,0.7440758293838863,0.6986951364175563,0.7109004739336493,0.7402135231316725,0.7630331753554502,0.7781731909845789,0.7285714285714285,0.7748815165876777,0.018997229574638178,0.00760438078249568,0.01848920054356879,0.03065091195642265
31,0.08750929832458496,0.0,0.7903225806451613,0.8147520984072905,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 15}",53,0.8530805687203792,0.8137603795966786,0.8483412322274881,0.8446026097271648,0.6966824644549763,0.7473309608540926,0.7582938388625592,0.8481613285883749,0.7952380952380952,0.8199052132701422,0.025389791718855106,0.0,0.05854798757248314,0.03627775509952877
32,0.06563162803649902,0.0,0.784629981024668,0.7839087438790597,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 20}",64,0.8720379146919431,0.8161328588374852,0.7772511848341233,0.7698695136417556,0.7156398104265402,0.7710557532621589,0.7867298578199052,0.7378410438908659,0.7714285714285715,0.8246445497630331,0.03336937980626741,0.0,0.05028733994252483,0.03219419761859889
33,0.05228099822998047,0.0034064769744873045,0.7722960151802657,0.778227443175749,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 25}",80,0.8436018957345972,0.767497034400949,0.8483412322274881,0.8256227758007118,0.7061611374407583,0.7959667852906287,0.7203791469194313,0.730723606168446,0.7428571428571429,0.7713270142180095,0.012290960006983504,0.006323611023632481,0.061346495834094995,0.03156065251540635
34,0.06390795707702637,0.003125286102294922,0.7789373814041746,0.7839250476463544,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 30}",69,0.8483412322274881,0.7817319098457889,0.8246445497630331,0.7888493475682088,0.7393364928909952,0.7710557532621589,0.7251184834123223,0.8220640569395018,0.7571428571428571,0.7559241706161137,0.01597862900929775,0.006250572204589844,0.04869236225321747,0.022060419150166544
35,0.06319379806518555,0.0,0.8111954459203036,0.8292281571683165,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 35}",29,0.8436018957345972,0.8161328588374852,0.8151658767772512,0.8279952550415184,0.8246445497630331,0.8291814946619217,0.7819905213270142,0.8695136417556346,0.7904761904761904,0.8033175355450237,0.011001623954029401,0.0,0.02249177124161324,0.022213912959034174
36,0.04062967300415039,0.0031251430511474608,0.6631878557874763,0.6631877800453132,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 2}",145,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.01874468413078499,0.0062502861022949215,0.0006400248824124762,0.00015966447971305087
37,0.1177445411682129,0.0,0.74573055028463,0.7552146756393607,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 5}",101,0.8246445497630331,0.7378410438908659,0.7819905213270142,0.7295373665480427,0.6919431279620853,0.7864768683274022,0.7109004739336493,0.7520759193357058,0.719047619047619,0.7701421800947867,0.04280207456254365,0.0,0.04973681590592088,0.020838302015126466
