,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
93,0.07813405990600586,0.0,0.8045540796963947,0.8062114542398227,0.001,"(50, 50)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",42,0.8909952606635071,0.8090154211150652,0.8009478672985783,0.7580071174377224,0.7914691943127962,0.8386714116251482,0.7725118483412322,0.8066429418742586,0.7666666666666667,0.8187203791469194,0.017116853006884303,0.0,0.04499166124349323,0.02661514055621342
94,0.1906449317932129,0.003125429153442383,0.8074003795066413,0.8249503859495257,0.001,"(50, 50)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",37,0.8909952606635071,0.8113879003558719,0.8530805687203792,0.8149466192170819,0.7535545023696683,0.8256227758007118,0.7393364928909952,0.8386714116251482,0.8,0.8341232227488151,0.10289860406918441,0.006250858306884766,0.05775321427453303,0.010553444489499004
95,0.2125236988067627,0.0,0.8121442125237192,0.8235308337971474,0.001,"(50, 50)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",30,0.8862559241706162,0.8078291814946619,0.8625592417061612,0.8291814946619217,0.7819905213270142,0.8208778173190985,0.7109004739336493,0.8422301304863582,0.819047619047619,0.8175355450236966,0.12248762601213956,0.0,0.062063591946272235,0.011585486902308722
96,0.1750192165374756,0.0,0.8225806451612904,0.830662045391937,0.001,"(50, 50)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",17,0.919431279620853,0.8493475682087782,0.8815165876777251,0.8600237247924081,0.7914691943127962,0.8279952550415184,0.7203791469194313,0.8564650059311981,0.8,0.759478672985782,0.042393822930577967,0.0,0.07042376462502073,0.03728601354564964
97,0.20314693450927734,0.0031253337860107423,0.8197343453510436,0.8586258172966105,0.001,"(50, 50)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",24,0.919431279620853,0.8730723606168446,0.8578199052132701,0.8564650059311981,0.7582938388625592,0.8232502965599051,0.7156398104265402,0.8481613285883749,0.8476190476190476,0.8921800947867299,0.0677566776708748,0.0062506675720214845,0.0732118444663454,0.02323873597621906
98,0.20996909141540526,0.0,0.8339658444022771,0.8512863110196601,0.001,"(50, 50)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",1,0.9241706161137441,0.8481613285883749,0.8815165876777251,0.8588374851720048,0.8151658767772512,0.8446026097271648,0.7345971563981043,0.8766310794780545,0.8142857142857143,0.8281990521327014,0.11621966738887822,0.0,0.06485515470586867,0.016042670727564413
99,0.07813410758972168,0.0,0.7409867172675522,0.7405185160198567,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",131,0.7819905213270142,0.7105575326215896,0.8104265402843602,0.7402135231316725,0.6872037914691943,0.7734282325029656,0.7109004739336493,0.763938315539739,0.7142857142857143,0.7144549763033176,0.05590791029473903,0.0,0.04694890251542258,0.02533218544839264
100,0.11251268386840821,0.0,0.7409867172675522,0.7680353398211084,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",131,0.8246445497630331,0.7544483985765125,0.7630331753554502,0.7603795966785291,0.7061611374407583,0.8054567022538552,0.7109004739336493,0.7888493475682088,0.7,0.731042654028436,0.07222209601008671,0.0,0.047508585799069,0.026249782713096834
101,0.08125858306884766,0.0031255245208740234,0.7666034155597723,0.7907883714785269,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",111,0.7535545023696683,0.7473309608540926,0.7772511848341233,0.7663107947805456,0.7914691943127962,0.8125741399762753,0.6919431279620853,0.800711743772242,0.819047619047619,0.8270142180094787,0.01822262432732861,0.006251049041748047,0.04294698008978503,0.029573986145893436
102,0.09688501358032227,0.0,0.7941176470588235,0.8057417370820754,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 10}",65,0.8625592417061612,0.7781731909845789,0.8909952606635071,0.8185053380782918,0.8056872037914692,0.8398576512455516,0.6066350710900474,0.7935943060498221,0.8047619047619048,0.7985781990521327,0.0488215885335387,0.0,0.09951159695112852,0.021380861541667892
