,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
30,0.3862137317657471,0.1156355857849121,0.715370018975332,0.7421750349968798,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",140,0.7725118483412322,0.7402135231316725,0.7298578199052133,0.7366548042704626,0.6208530805687204,0.7117437722419929,0.7488151658767772,0.7900355871886121,0.7047619047619048,0.7322274881516587,0.07116434428598638,0.0076556483674829435,0.05225333220191238,0.025884236026054913
31,0.35863480567932127,0.12084884643554687,0.7371916508538899,0.7687217846441,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",113,0.7867298578199052,0.7461447212336892,0.6824644549763034,0.6832740213523132,0.6729857819905213,0.7473309608540926,0.7440758293838863,0.8291814946619217,0.8,0.8376777251184834,0.049685297860989575,0.012882428734505557,0.05207288951764552,0.057756228492462834
32,0.3724658012390137,0.12188758850097656,0.7229601518026565,0.7523929994996431,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",129,0.8815165876777251,0.8161328588374852,0.6635071090047393,0.6619217081850534,0.7251184834123223,0.8018979833926453,0.6824644549763034,0.8185053380782918,0.6619047619047619,0.6635071090047393,0.08134153492188366,0.011694450786313815,0.08253695784538555,0.073444006552194
33,0.40296645164489747,0.11564726829528808,0.7988614800759013,0.8047862800987222,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",24,0.9004739336492891,0.8398576512455516,0.8104265402843602,0.7663107947805456,0.7488151658767772,0.8054567022538552,0.6872037914691943,0.7864768683274022,0.8476190476190476,0.8258293838862559,0.09247483015132882,0.007657605402772033,0.07459667648199515,0.026415375397213788
34,0.40363330841064454,0.11877274513244629,0.7884250474383302,0.8083438745621876,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 30}",29,0.8815165876777251,0.830367734282325,0.8341232227488151,0.7627520759193357,0.7109004739336493,0.7888493475682088,0.7156398104265402,0.8291814946619217,0.8,0.830568720379147,0.05411687343742948,0.007642079916161238,0.06665809954081864,0.027827501742664833
35,0.43897290229797364,0.11251659393310547,0.8111954459203036,0.8159318727406631,0.1,"(25, 25)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 35}",17,0.8578199052132701,0.7817319098457889,0.8530805687203792,0.800711743772242,0.8151658767772512,0.8362989323843416,0.6919431279620853,0.8137603795966786,0.8380952380952381,0.8471563981042654,0.08177087959203591,0.006248148603935249,0.06148686122070559,0.023646535784388863
36,0.4078673362731934,0.11518378257751465,0.6944971537001897,0.6921112254248818,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",164,0.6966824644549763,0.6915776986951364,0.7014218009478673,0.6915776986951364,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.7476190476190476,0.7511848341232228,0.07921309871788688,0.006615380453218165,0.030940557935729907,0.03216408174198762
37,0.44601998329162595,0.11592025756835937,0.7637571157495257,0.7582983364535371,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 5}",68,0.8341232227488151,0.7556346381969158,0.7630331753554502,0.7034400948991696,0.6966824644549763,0.7864768683274022,0.7630331753554502,0.7734282325029656,0.7619047619047619,0.7725118483412322,0.052846005265798406,0.007451047706304704,0.04350593396157389,0.029125553344286015
38,0.40972342491149905,0.1187654972076416,0.7381404174573055,0.7405148617271873,0.1,"(100, 25, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 7}",108,0.7582938388625592,0.7153024911032029,0.7819905213270142,0.7473309608540926,0.6682464454976303,0.7580071174377224,0.7535545023696683,0.7520759193357058,0.7285714285714285,0.7298578199052133,0.11175898701580805,0.007659333794256495,0.03885882489054016,0.015718348787671612
39,0.4279788017272949,0.11564106941223144,0.6850094876660342,0.6805068785032017,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 10}",169,0.6635071090047393,0.6631079478054567,0.7725118483412322,0.7497034400948992,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.06757624959645735,0.007660325368575243,0.043781509352605,0.034598626179052946
