,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
148,0.25928440093994143,0.0,0.10072342793544797,0.10044475509086681,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 25}",186,0.10164835164835165,0.10048848569434753,0.09944751381215469,0.09965156794425087,0.10027855153203342,0.10083449235048679,0.10084033613445378,0.10069444444444445,0.10140845070422536,0.10055478502080444,0.17252621221872924,0.0,0.0007976151347958124,0.0004141025731737768
149,0.25315079689025877,0.00020036697387695312,0.1001669449081803,0.10030654276907647,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 30}",210,0.0989010989010989,0.10048848569434753,0.09944751381215469,0.10034843205574913,0.10027855153203342,0.10083449235048679,0.10084033613445378,0.1,0.10140845070422536,0.09986130374479889,0.14421907467817574,0.00040073394775390624,0.0009087944616811882,0.00034807900221592964
150,0.19689588546752929,0.0,0.1018363939899833,0.10183626058684452,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 35}",149,0.10164835164835165,0.10188415910676901,0.10220994475138122,0.10174216027874565,0.10306406685236769,0.10152990264255911,0.10084033613445378,0.10208333333333333,0.10140845070422536,0.10194174757281553,0.03217741505795304,0.0,0.0007547535698188662,0.00018824280729356718
151,0.23153419494628907,0.0,0.10072342793544797,0.10072350073546613,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 40}",186,0.10164835164835165,0.10048848569434753,0.09944751381215469,0.10104529616724739,0.10027855153203342,0.10083449235048679,0.10084033613445378,0.10069444444444445,0.10140845070422536,0.10055478502080444,0.05152258904793166,0.0,0.0007976151347958124,0.00020020627787055212
152,0.26566457748413086,0.0031254768371582033,0.09905397885364496,0.09947117489226248,0.001,"(50,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 45}",237,0.0989010989010989,0.09909281228192603,0.09944751381215469,0.09965156794425087,0.10027855153203342,0.09944367176634214,0.09803921568627451,0.1,0.09859154929577464,0.09916782246879334,0.06457040267772857,0.006250953674316407,0.0007631070444547706,0.0003310996911626153
153,0.2513157844543457,0.0,0.09905397885364496,0.0969668163908329,0.001,"(50,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 50}",237,0.10714285714285714,0.09699930216329379,0.09668508287292818,0.09686411149825784,0.09749303621169916,0.09666203059805285,0.09803921568627451,0.09652777777777778,0.09577464788732394,0.09778085991678225,0.044323788196297176,0.0,0.004147257259760141,0.0004381597347418406
154,0.6086767196655274,0.0,0.5214245965498052,0.5732480708291876,0.001,"(50,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 55}",23,0.7967032967032966,0.8709002093510119,0.6546961325966851,0.759581881533101,0.1894150417827298,0.16481223922114047,0.18487394957983194,0.15208333333333332,0.7774647887323943,0.9188626907073509,0.22690537451662443,0.0,0.2764090000059203,0.3426269442711397
155,0.7112502098083496,0.0,0.7935447968836951,0.8790190259264372,0.001,"(50,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 60}",4,0.8516483516483516,0.9043963712491278,0.7928176795580111,0.913588850174216,0.8356545961002786,0.8977746870653686,0.7478991596638656,0.8006944444444445,0.7380281690140845,0.8786407766990292,0.17874082373473102,0.0,0.04539824048678501,0.04080622591153259
156,0.05000567436218262,0.0031253337860107423,0.10127991096271564,0.10127973527921272,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",170,0.10164835164835165,0.10118632240055828,0.10220994475138122,0.10104529616724739,0.10027855153203342,0.10152990264255911,0.10084033613445378,0.10138888888888889,0.10140845070422536,0.10124826629680998,0.018224063491811222,0.0062506675720214845,0.0006661181333437533,0.0001668389523822827
157,0.037504053115844725,0.003125429153442383,0.10127991096271564,0.10127973527921272,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",170,0.10164835164835165,0.10118632240055828,0.10220994475138122,0.10104529616724739,0.10027855153203342,0.10152990264255911,0.10084033613445378,0.10138888888888889,0.10140845070422536,0.10124826629680998,0.007655336787875184,0.006250858306884766,0.0006661181333437533,0.0001668389523822827
158,0.21748509407043456,0.0,0.09682804674457429,0.09696700902452068,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",249,0.09615384615384616,0.09699930216329379,0.09668508287292818,0.09686411149825784,0.09749303621169916,0.09666203059805285,0.09803921568627451,0.09722222222222222,0.09577464788732394,0.0970873786407767,0.06833650713495253,0.0,0.0008337707185835549,0.0001919714609687028
159,0.3224332332611084,0.003125286102294922,0.10127991096271564,0.10127973527921272,0.001,"(25,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",170,0.10164835164835165,0.10118632240055828,0.10220994475138122,0.10104529616724739,0.10027855153203342,0.10152990264255911,0.10084033613445378,0.10138888888888889,0.10140845070422536,0.10124826629680998,0.06989797978169139,0.006250572204589844,0.0006661181333437533,0.0001668389523822827
160,0.29065570831298826,0.0,0.10072342793544797,0.10072350073546613,0.001,"(25,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",186,0.10164835164835165,0.10048848569434753,0.09944751381215469,0.10104529616724739,0.10027855153203342,0.10083449235048679,0.10084033613445378,0.10069444444444445,0.10140845070422536,0.10055478502080444,0.1494297462717361,0.0,0.0007976151347958124,0.00020020627787055212
161,0.26685051918029784,0.0,0.1001669449081803,0.09975011694105898,0.001,"(25,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",210,0.0989010989010989,0.10048848569434753,0.09944751381215469,0.09965156794425087,0.10306406685236769,0.09944367176634214,0.10084033613445378,0.09930555555555555,0.09859154929577464,0.09986130374479889,0.139674916190005,0.0,0.0016389074931595423,0.0004144408996512358
162,0.29034972190856934,0.0,0.12910406232609906,0.1384798112109777,0.001,"(25,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",125,0.10164835164835165,0.10188415910676901,0.10220994475138122,0.10174216027874565,0.10306406685236769,0.10152990264255911,0.18487394957983194,0.20208333333333334,0.15492957746478872,0.18515950069348128,0.14631937105593537,0.0,0.0344023819035425,0.04534003513169622
163,0.23911089897155763,0.0,0.17417918753478018,0.18114529479142827,0.001,"(25,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",96,0.09615384615384616,0.09699930216329379,0.4889502762430939,0.5149825783972125,0.09749303621169916,0.09666203059805285,0.0896358543417367,0.09652777777777778,0.09577464788732394,0.10055478502080444,0.05789307231813601,0.0,0.15811993547185238,0.16692528650871022
164,0.25058817863464355,0.0031253814697265623,0.10127991096271564,0.10127973527921272,0.001,"(25,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",170,0.10164835164835165,0.10118632240055828,0.10220994475138122,0.10104529616724739,0.10027855153203342,0.10152990264255911,0.10084033613445378,0.10138888888888889,0.10140845070422536,0.10124826629680998,0.053787224834480625,0.006250762939453125,0.0006661181333437533,0.0001668389523822827
165,0.5938138008117676,0.003125286102294922,0.5080690038953812,0.5822230270342718,0.001,"(25,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",27,0.09615384615384616,0.11165387299371947,0.6906077348066298,0.8341463414634146,0.7994428969359332,0.8908205841446454,0.19887955182072828,0.21041666666666667,0.7605633802816901,0.8640776699029126,0.17596520544973537,0.006250572204589844,0.29938072796406545,0.3457788734605718
166,0.2812792301177979,0.0,0.09627156371730662,0.09682812013563179,0.001,"(25,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 50}",257,0.09615384615384616,0.09699930216329379,0.09668508287292818,0.09686411149825784,0.09749303621169916,0.09666203059805285,0.09523809523809523,0.09652777777777778,0.09577464788732394,0.0970873786407767,0.07262362930134268,0.0,0.0007721957781901489,0.00020765591909821212
167,0.48437132835388186,0.00020046234130859374,0.09905397885364496,0.09905383112265947,0.001,"(25,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 55}",237,0.0989010989010989,0.09909281228192603,0.09944751381215469,0.09895470383275261,0.10027855153203342,0.09874826147426982,0.09803921568627451,0.09930555555555555,0.09859154929577464,0.09916782246879334,0.14490935376915345,0.0004009246826171875,0.0007631070444547706,0.0001903038504651347
168,0.4682170867919922,0.0,0.10461880912632164,0.10127973527921272,0.001,"(25,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 60}",143,0.10164835164835165,0.10118632240055828,0.10220994475138122,0.10104529616724739,0.116991643454039,0.10152990264255911,0.10084033613445378,0.10138888888888889,0.10140845070422536,0.10124826629680998,0.186755750848517,0.0,0.0061977342649368085,0.0001668389523822827
169,0.07857365608215332,0.0,0.1001669449081803,0.1016973633532211,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 2}",210,0.0989010989010989,0.10048848569434753,0.09944751381215469,0.10034843205574913,0.10027855153203342,0.10778859527121001,0.10084033613445378,0.1,0.10140845070422536,0.09986130374479889,0.026422248684287174,0.0,0.0009087944616811882,0.0030540551519803124
170,0.06563024520874024,0.0,0.12020033388981637,0.123113844791258,0.001,"(25, 25)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 5}",127,0.10164835164835165,0.10188415910676901,0.11049723756906077,0.14146341463414633,0.10306406685236769,0.10152990264255911,0.18487394957983194,0.16875,0.10140845070422536,0.10194174757281553,0.015313837038198502,0.0,0.03237373713777652,0.02751068588466374
171,0.25940303802490233,0.0,0.1352253756260434,0.14131892260346454,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 10}",112,0.10164835164835165,0.10048848569434753,0.1712707182320442,0.18397212543554006,0.10027855153203342,0.10152990264255911,0.1568627450980392,0.15555555555555556,0.14647887323943662,0.1650485436893204,0.10108013701161173,0.0,0.02919100506121286,0.034162444391945226
172,0.35871214866638185,0.00020055770874023439,0.1001669449081803,0.10016746071066199,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 15}",210,0.0989010989010989,0.10048848569434753,0.09944751381215469,0.10034843205574913,0.10027855153203342,0.10013908205841446,0.10084033613445378,0.1,0.10140845070422536,0.09986130374479889,0.07605818187500579,0.00040111541748046877,0.0009087944616811882,0.0002273271621070615
173,0.3492738723754883,0.0031253814697265623,0.19198664440734559,0.1883786696541026,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",78,0.10164835164835165,0.09979064898813678,0.10497237569060773,0.10383275261324042,0.09749303621169916,0.09735744089012517,0.09803921568627451,0.09791666666666667,0.5633802816901409,0.542995839112344,0.21940503967890615,0.006250762939453125,0.1842946397965442,0.17732310872448193
174,0.27502641677856443,0.006253242492675781,0.1001669449081803,0.10016746071066199,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",210,0.0989010989010989,0.10048848569434753,0.09944751381215469,0.10034843205574913,0.10027855153203342,0.10013908205841446,0.10084033613445378,0.1,0.10140845070422536,0.09986130374479889,0.1634734220913676,0.0076586276759462255,0.0009087944616811882,0.0002273271621070615
175,0.2930633068084717,0.003125572204589844,0.11352253756260434,0.11949572385338317,0.001,"(25, 25)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",140,0.10164835164835165,0.10258199581297976,0.10220994475138122,0.10174216027874565,0.1532033426183844,0.17246175243393602,0.1092436974789916,0.11944444444444445,0.10140845070422536,0.10124826629680998,0.2121621992093022,0.006251144409179687,0.020038243556277015,0.027348256749840885
